date,Consumption,Production
2021-08-15 05:00:00,246.37418,390.0
2021-08-15 05:15:00,303.31778,297.33334
2021-08-15 05:30:00,289.06088,288.0
2021-08-15 05:45:00,304.8989,294.33334
2021-08-15 06:00:00,1651.834,1566.0
2021-08-15 06:15:00,2994.8345,3003.3333
2021-08-15 06:30:00,2308.9138,2303.3333
2021-08-15 06:45:00,191.7598,188.0
2021-08-15 07:00:00,280.75714,281.33334
2021-08-15 07:15:00,192.23946,197.0
2021-08-15 07:30:00,219.81921,219.66667
2021-08-15 07:45:00,159.40332,156.66667
2021-08-15 08:00:00,196.87712,197.0
2021-08-15 08:15:00,160.73824,162.33333
2021-08-15 08:30:00,230.87968,225.0
2021-08-15 08:45:00,1465.2494,1489.6666
2021-08-15 09:00:00,329.93918,372.66666
2021-08-15 09:15:00,266.4638,258.0
2021-08-15 09:30:00,305.22144,314.33334
2021-08-15 09:45:00,297.9059,299.33334
2021-08-15 10:00:00,422.87793,2223.6667
2021-08-15 10:15:00,249.75879,4290.3335
2021-08-15 10:30:00,2339.382,4532.0
2021-08-15 10:45:00,1290.206,4654.0
2021-08-15 11:00:00,214.24951,5005.0
2021-08-15 11:15:00,2675.5347,6599.0
2021-08-15 11:30:00,5200.67,5997.0
2021-08-15 11:45:00,213.88477,6432.6665
2021-08-15 12:00:00,1653.3628,6841.6665
2021-08-15 12:15:00,180.39941,4558.0
2021-08-15 12:30:00,241.92688,1995.6666
2021-08-15 12:45:00,280.3604,1055.3334
2021-08-15 13:00:00,299.24207,1226.0
2021-08-15 13:15:00,251.61084,4995.0
2021-08-15 13:30:00,874.53955,6392.0
2021-08-15 13:45:00,1409.5415,6261.6665
2021-08-15 14:00:00,868.9656,3745.0
2021-08-15 14:15:00,293.72266,2552.3333
2021-08-15 14:30:00,433.4568,1955.0
2021-08-15 14:45:00,362.5438,734.6667
2021-08-15 15:00:00,348.16193,326.0
2021-08-15 15:15:00,1435.1959,1267.3334
2021-08-15 15:30:00,799.7006,1090.3334
